موم,است
است,سنگ
سنگ,خارا
آیینه,سکندر
سکندر,جام
جام,می
می,است
است,بنگر
بنگر,تا
تا,بر
بر,تو
تو,عرضه
عرضه,دارد
دارد,احوال
احوال,ملک
ملک,دارا
خوبان,پارسی
پارسی,گو
گو,بخشندگان
بخشندگان,عمرند
عمرند,ساقی
ساقی,بده
بده,بشارت
بشارت,رندان
رندان,پارسا
پارسا,را
حافظ,به
به,خود
خود,نپوشید
نپوشید,این
این,خرقه
خرقه,می
می,آلود
آلود,ای
ای,شیخ
شیخ,پاکدامن
پاکدامن,معذور
معذور,دار
دار,ما
ما,را
به,ملازمان
ملازمان,سلطان
سلطان,که
که,رساند
رساند,این
این,دعا
دعا,را
را,که
که,به
به,شکر
شکر,پادشاهی
پادشاهی,ز
ز,نظر
نظر,مران
مران,گدا
گدا,را
ز,رقیب
رقیب,دیوسیرت
دیوسیرت,به
به,خدای
خدای,خود
خود,پناهم
پناهم,مگر
مگر,آن
آن,شهاب
شهاب,ثاقب
ثاقب,مددی
مددی,دهد
دهد,خدا
خدا,را
مژه,سیاهت
سیاهت,ار
ار,کرد
کرد,به
به,خون
خون,ما
ما,اشارت
اشارت,ز
ز,فریب
فریب,او
او,بیندیش
بیندیش,و
و,غلط
غلط,مکن
مکن,نگارا
دل,عالمی
عالمی,بسوزی
بسوزی,چو
چو,عذار
عذار,برفروزی
برفروزی,تو
تو,از
از,این
این,چه
چه,سود
سود,داری
داری,که
که,نمیکنی
نمیکنی,مدارا
همه,شب
شب,در
در,این
این,امیدم
امیدم,که
که,نسیم
نسیم,صبحگاهی
صبحگاهی,به
به,پیام
پیام,آشنایان
آشنایان,بنوازد
بنوازد,آشنا
آشنا,را
چه,قیامت
قیامت,است
است,جانا
جانا,که
که,به
به,عاشقان
عاشقان,نمودی
نمودی,دل
دل,و
و,جان
جان,فدای
فدای,رویت
رویت,بنما
بنما,عذار
عذار,ما
ما,را
به,خدا
خدا,که
که,جرعهای
جرعهای,ده
ده,تو
تو,به
به,حافظ
حافظ,سحرخیز
سحرخیز,که
که,دعای
دعای,صبحگاهی
صبحگاهی,اثری
اثری,کند
کند,شما
شما,را
صوفی,بیا
بیا,که
که,آینه
آینه,صافیست
صافیست,جام
جام,را
را,تا
تا,بنگری
بنگری,صفای
صفای,می
می,لعل
لعل,فام
فام,را
راز,درون
درون,پرده
پرده,ز
ز,رندان
رندان,مست
مست,پرس
پرس,کاین
کاین,حال
حال,نیست
نیست,زاهد
زاهد,عالی
عالی,مقام
مقام,را
عنقا,شکار
شکار,کس
کس,نشود
نشود,دام
دام,بازچین
بازچین,کان
کان,جا
جا,همیشه
همیشه,باد
باد,به
به,دست
دست,است
است,دام
دام,را
در,بزم
بزم,دور
دور,یک
یک,دو
دو,قدح
قدح,درکش
درکش,و
و,برو
برو,یعنی
یعنی,طمع
طمع,مدار
مدار,وصال
وصال,دوام
دوام,را
ای,دل
دل,شباب
شباب,رفت
رفت,و
و,نچیدی
نچیدی,گلی
گلی,ز
ز,عیش
عیش,پیرانه
پیرانه,سر
سر,مکن
مکن,هنری
هنری,ننگ
ننگ,و
و,نام
نام,را
در,عیش
عیش,نقد
نقد,کوش
کوش,که
که,چون
چون,آبخور
آبخور,نماند
نماند,آدم
آدم,بهشت
بهشت,روضه
روضه,دارالسلام
دارالسلام,را
ما,را
را,بر
بر,آستان
آستان,تو
تو,بس
بس,حق
حق,خدمت
خدمت,است
است,ای
ای,خواجه
خواجه,بازبین
بازبین,به
به,ترحم
ترحم,غلام
غلام,را
حافظ,مرید
مرید,جام
جام,می
می,است
است,ای
ای,صبا
صبا,برو
برو,وز
وز,بنده
بنده,بندگی
بندگی,برسان
برسان,شیخ
شیخ,جام
جام,را
ساقیا,برخیز
برخیز,و
و,درده
درده,جام
جام,را
را,خاک
خاک,بر
بر,سر
سر,کن
کن,غم
غم,ایام
ایام,را
ساغر,می
می,بر
بر,کفم
کفم,نه
نه,تا
تا,ز
ز,بر
بر,برکشم
برکشم,این
این,دلق
دلق,ازرق
ازرق,فام
فام,را
گر,چه
چه,بدنامیست
بدنامیست,نزد
نزد,عاقلان
عاقلان,ما
ما,نمیخواهیم
نمیخواهیم,ننگ
ننگ,و
و,نام
نام,را
باده,درده
درده,چند
چند,از
از,این
این,باد
باد,غرور
غرور,خاک
خاک,بر
بر,سر
سر,نفس
نفس,نافرجام
نافرجام,را
دود,آه
آه,سینهٔ
سینهٔ,نالان
نالان,من
من,سوخت
سوخت,این
این,افسردگان
افسردگان,خام
خام,را
محرم,راز
راز,دل
دل,شیدای
شیدای,خود
خود,کس
کس,نمیبینم
نمیبینم,ز
ز,خاص
خاص,و
و,عام
عام,را
با,دلارامی
دلارامی,مرا
مرا,خاطر
خاطر,خوش
خوش,است
است,کز
کز,دلم
دلم,یک
یک,باره
باره,برد
برد,آرام
آرام,را
ننگرد,دیگر
دیگر,به
به,سرو
سرو,اندر
اندر,چمن
چمن,هر
هر,که
که,دید
دید,آن
آن,سرو
سرو,سیم
سیم,اندام
اندام,را
صبر,کن
کن,حافظ
حافظ,به
به,سختی
سختی,روز
روز,و
و,شب
شب,عاقبت
عاقبت,روزی
روزی,بیابی
بیابی,کام
کام,را
رونق,عهد
عهد,شباب
شباب,است
است,دگر
دگر,بستان
بستان,را
را,میرسد
میرسد,مژده
مژده,گل
گل,بلبل
بلبل,خوش
خوش,الحان
الحان,را
ای,صبا
صبا,گر
گر,به
به,جوانان
جوانان,چمن
چمن,بازرسی
بازرسی,خدمت
خدمت,ما
ما,برسان
برسان,سرو
سرو,و
و,گل
گل,و
و,ریحان
ریحان,را
گر,چنین
چنین,جلوه
جلوه,کند
کند,مغبچه
مغبچه,باده
باده,فروش
فروش,خاکروب
خاکروب,در
در,میخانه
میخانه,کنم
کنم,مژگان
مژگان,را
ای,که
که,بر
بر,مه
مه,کشی
کشی,از
از,عنبر
عنبر,سارا
سارا,چوگان
چوگان,مضطرب
مضطرب,حال
حال,مگردان
مگردان,من
من,سرگردان
سرگردان,را
ترسم,این
این,قوم
قوم,که
که,بر
بر,دردکشان
دردکشان,میخندند
میخندند,در
در,سر
سر,کار
کار,خرابات
خرابات,کنند
کنند,ایمان
ایمان,را
یار,مردان
مردان,خدا
خدا,باش
باش,که
که,در
در,کشتی
کشتی,نوح
نوح,هست
هست,خاکی
خاکی,که
که,به
به,آبی
آبی,نخرد
نخرد,طوفان
طوفان,را
برو,از
از,خانه
خانه,گردون
گردون,به
به,در
در,و
و,نان
نان,مطلب
مطلب,کان
کان,سیه
سیه,کاسه
کاسه,در
در,آخر
آخر,بکشد
بکشد,مهمان
مهمان,را
هر,که
که,را
را,خوابگه
خوابگه,آخر
آخر,مشتی
مشتی,خاک
خاک,است
است,گو
گو,چه
چه,حاجت
حاجت,که
که,به
به,افلاک
افلاک,کشی
کشی,ایوان
ایوان,را
ماه,کنعانی
کنعانی,من
من,مسند
مسند,مصر
مصر,آن
آن,تو
تو,شد
شد,وقت
وقت,آن
آن,است
است,که
که,بدرود
بدرود,کنی
کنی,زندان
زندان,را
حافظا,می
می,خور
خور,و
و,رندی
رندی,کن
کن,و
و,خوش
خوش,باش
باش,ولی
ولی,دام
دام,تزویر
تزویر,مکن
مکن,چون
چون,دگران
دگران,قرآن
قرآن,را
دوش,از
از,مسجد
مسجد,سوی
سوی,میخانه
میخانه,آمد
آمد,پیر
پیر,ما
ما,چیست
چیست,یاران
یاران,طریقت
طریقت,بعد
بعد,از
از,این
این,تدبیر
تدبیر,ما
ما,مریدان
مریدان,روی
روی,سوی
سوی,قبله
قبله,چون
چون,آریم
آریم,چون
چون,روی
روی,سوی
سوی,خانه
خانه,خمار
خمار,دارد
دارد,پیر
پیر,ما
در,خرابات
خرابات,طریقت
طریقت,ما
ما,به
به,هم
هم,منزل
منزل,شویم
شویم,کاین
کاین,چنین
چنین,رفتهست
رفتهست,در
در,عهد
عهد,ازل
ازل,تقدیر
تقدیر,ما
عقل,اگر
اگر,داند
داند,که
که,دل
دل,در
در,بند
بند,زلفش
زلفش,چون
چون,خوش
خوش,است
است,عاقلان
عاقلان,دیوانه
دیوانه,گردند
گردند,از
از,پی
پی,زنجیر
زنجیر,ما
روی,خوبت
خوبت,آیتی
آیتی,از
از,لطف
لطف,بر
بر,ما
ما,کشف
کشف,کرد
کرد,زان
زان,زمان
زمان,جز
جز,لطف
لطف,و
و,خوبی
خوبی,نیست
نیست,در
در,تفسیر
تفسیر,ما
با,دل
دل,سنگینت
سنگینت,آیا
آیا,هیچ
هیچ,درگیرد
درگیرد,شبی
شبی,آه
آه,آتشناک
آتشناک,و
و,سوز
سوز,سینه
سینه,شبگیر
شبگیر,ما
تیر,آه
آه,ما
ما,ز
ز,گردون
گردون,بگذرد
بگذرد,حافظ
حافظ,خموش
خموش,رحم
رحم,کن
کن,بر
بر,جان
جان,خود
خود,پرهیز
پرهیز,کن
کن,از
از,تیر
تیر,ما
ساقی,به
به,نور
نور,باده
باده,برافروز
برافروز,جام
جام,ما
ما,مطرب
مطرب,بگو
بگو,که
که,کار
کار,جهان
جهان,شد
شد,به
به,کام
کام,ما
ما,در
در,پیاله
پیاله,عکس
عکس,رخ
رخ,یار
یار,دیدهایم
دیدهایم,ای
ای,بیخبر
بیخبر,ز
ز,لذت
لذت,شرب
شرب,مدام
مدام,ما
هرگز,نمیرد
نمیرد,آن
آن,که
که,دلش
دلش,زنده
زنده,شد
شد,به
به,عشق
عشق,ثبت
ثبت,است
است,بر
بر,جریده
جریده,عالم
عالم,دوام
دوام,ما
چندان,بود
بود,کرشمه
کرشمه,و
و,ناز
ناز,سهی
سهی,قدان
قدان,کاید
کاید,به
به,جلوه
جلوه,سرو
سرو,صنوبرخرام
صنوبرخرام,ما
ای,باد
باد,اگر
اگر,به
به,گلشن
گلشن,احباب
احباب,بگذری
بگذری,زنهار
زنهار,عرضه
عرضه,ده
ده,بر
بر,جانان
جانان,پیام
پیام,ما
گو,نام
نام,ما
