SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6583,3.86190027,2.00E-08,0.25893988,0,2,12,2,1,FALSE,الحرام,39,2,0,1,0,0.84136707,FALSE,0,الحرام,60,0.53521127
6584,3.61659943,0,0.27650284,1,2,12,2,1,FALSE,نموید,383,2,0,1,0,0.85870506,FALSE,0,نموید,0,0.53268428
6585,3.88498841,1.10E-07,0.25740103,0,2,11,2,1,FALSE,ببرش,84.5,2,0,1,0,0.84813027,FALSE,0,ببرش,300,0.53525641
6586,3.6165136,5.00E-08,0.2765094,0,2,12,2,1,FALSE,نبوید,74.5,2,0,1,0,0.84535064,FALSE,0,نبوید,90,0.5326087
6587,3.26160845,7.73E-05,0.30659719,0.26666667,6,11,6,2,FALSE,ساغری,437.3333333,6,0,4,0,0.87313582,FALSE,0,ساغری,71476,0.20305001
6588,3.44734358,1.14E-06,0.29007843,0.25,4,11,4,2,FALSE,بشوید,233.5,4,0,2,0,0.86010874,FALSE,0,بشوید,3381,0.29942234
6589,3.86190027,7.00E-08,0.25893988,0,2,12,2,1,FALSE,فلاطون,102.5,2,0,1,0,0.84893475,FALSE,0,فلاطون,130,0.53141361
6590,3.25482791,1.23E-05,0.30723591,0.17777778,11,11,11,5,FALSE,بروید,284.4,11,0,6,1,0.87224257,FALSE,0,بروید,40320,0.14032577
6591,3.52948245,2.30E-07,0.28332766,0.16666667,4,11,4,2,FALSE,پرستان,172,4,0,2,0,0.85797825,FALSE,0,پرستان,974,0.31559633
6592,3.36354274,0,0.29730557,0,1,11,1,0,FALSE,شرمش,1570,1,0,1,0,0.86760431,FALSE,0,شرمش,0,0
